Symptom Description,Disease
"nausea, sensitivity to light, sensitivity to sound, vomiting",Migraine
"chest pain, fever, cough, fatigue, shortness of breath",Pneumonia
"fatigue, changes in appetite, insomnia, persistent sadness, loss of interest",Depression
"nervousness, difficulty concentrating, restlessness",Anxiety
"loss of appetite, fever, fatigue, rash, itching",Chickenpox
"mucus, fatigue, slight fever, cough",Bronchitis
"weight loss, increased thirst, fatigue, frequent urination",Diabetes
"nausea, sensitivity to sound, sensitivity to light, vomiting",Migraine
"headache, vomiting, sensitivity to light, nausea",Migraine
"sensitivity to sound, sensitivity to light, headache, vomiting",Migraine
"fever, dry cough, loss of taste, difficulty breathing, tiredness",COVID-19
"fatigue, increased thirst, blurred vision, weight loss",Diabetes
"fatigue, insomnia, loss of interest",Depression
"sore throat, mild fever, sneezing, runny nose",Common Cold
"fever, cough, shortness of breath, fatigue",Pneumonia
"chest pain, fever, shortness of breath, fatigue",Pneumonia
"frequent urination, blurred vision, fatigue",Diabetes
"rash, fever, itching, fatigue, loss of appetite",Chickenpox
"nausea, headache, sensitivity to sound, sensitivity to light, vomiting",Migraine
"fever, loss of appetite, rash, itching, fatigue",Chickenpox
"headache, nosebleeds, dizziness, shortness of breath",Hypertension
"fever, itching, loss of appetite, fatigue, rash",Chickenpox
"loss of interest, insomnia, persistent sadness, fatigue, changes in appetite",Depression
"fever, weight loss, night sweats",Tuberculosis
"chest tightness, shortness of breath, wheezing, coughing",Asthma
"increased thirst, blurred vision, weight loss, frequent urination",Diabetes
"difficulty breathing, dry cough, tiredness, fever",COVID-19
"fatigue, chest pain, cough, shortness of breath, fever",Pneumonia
"rash, fever, loss of appetite",Chickenpox
"fatigue, rash, itching, fever, loss of appetite",Chickenpox
"weight loss, night sweats, coughing",Tuberculosis
"restlessness, sweating, difficulty concentrating",Anxiety
"persistent sadness, fatigue, insomnia, changes in appetite",Depression
"fatigue, fever, night sweats",Tuberculosis
"nosebleeds, headache, dizziness",Hypertension
"fatigue, persistent sadness, loss of interest",Depression
"vomiting, fever, headache, chills, sweating",Malaria
"headache, muscle aches, fever, chills, cough, fatigue",Flu
"cough, sore throat, mild fever, sneezing, congestion",Common Cold
"fever, headache, fatigue, chills, muscle aches, cough",Flu
"loss of taste, fever, dry cough",COVID-19
"fever, chest pain, cough",Pneumonia
"weight loss, coughing, night sweats, fatigue",Tuberculosis
"congestion, runny nose, rash, sneezing",Allergy
"runny nose, sneezing, itchy eyes, congestion, rash",Allergy
"shortness of breath, chest tightness, wheezing",Asthma
"fatigue, shortness of breath, mucus",Bronchitis
"sore throat, mild fever, congestion, sneezing, cough, runny nose",Common Cold
"fever, shortness of breath, fatigue",Pneumonia
"fever, night sweats, weight loss, fatigue",Tuberculosis
"loss of appetite, fatigue, fever, itching, rash",Chickenpox
"wheezing, chest tightness, coughing, shortness of breath",Asthma
"fever, headache, fatigue, chills",Flu
"runny nose, congestion, cough, sneezing, mild fever",Common Cold
"difficulty breathing, tiredness, loss of smell",COVID-19
"vomiting, nausea, fever, headache",Malaria
"muscle aches, fatigue, chills, headache, fever",Flu
"runny nose, rash, congestion, itchy eyes, sneezing",Allergy
"tiredness, dry cough, fever, difficulty breathing",COVID-19
"wheezing, coughing, chest tightness",Asthma
"insomnia, changes in appetite, persistent sadness, fatigue, loss of interest",Depression
"cough, mucus, fatigue, shortness of breath, slight fever",Bronchitis
"headache, sensitivity to sound, vomiting, sensitivity to light, nausea",Migraine
"fever, dry cough, tiredness, loss of taste, loss of smell, difficulty breathing",COVID-19
"frequent urination, weight loss, fatigue",Diabetes
"headache, shortness of breath, nosebleeds",Hypertension
"chills, headache, cough, fatigue, muscle aches",Flu
"chest tightness, shortness of breath, coughing, wheezing",Asthma
"runny nose, congestion, sneezing, rash",Allergy
"slight fever, mucus, shortness of breath",Bronchitis
"shortness of breath, dizziness, nosebleeds",Hypertension
"loss of appetite, itching, fever, fatigue, rash",Chickenpox
"blurred vision, weight loss, frequent urination, increased thirst",Diabetes
"congestion, rash, itchy eyes, runny nose, sneezing",Allergy
"vomiting, headache, sensitivity to sound, sensitivity to light",Migraine
"sneezing, congestion, itchy eyes, rash, runny nose",Allergy
"fatigue, cough, chest pain, shortness of breath, fever",Pneumonia
"fatigue, chills, cough",Flu
"fever, shortness of breath, cough",Pneumonia
"sensitivity to sound, vomiting, headache, sensitivity to light",Migraine
"fatigue, increased thirst, weight loss",Diabetes
"tiredness, dry cough, loss of taste",COVID-19
"vomiting, headache, nausea, sensitivity to sound, sensitivity to light",Migraine
"nosebleeds, shortness of breath, dizziness, headache",Hypertension
"nausea, sensitivity to light, headache",Migraine
"shortness of breath, headache, dizziness, nosebleeds",Hypertension
"runny nose, congestion, sneezing, rash",Allergy
"night sweats, coughing, fatigue, fever",Tuberculosis
"fever, night sweats, weight loss",Tuberculosis
"increased thirst, weight loss, frequent urination, blurred vision",Diabetes
"fatigue, slight fever, cough, mucus",Bronchitis
"difficulty concentrating, sweating, nervousness",Anxiety
"coughing, shortness of breath, chest tightness, wheezing",Asthma
"frequent urination, weight loss, fatigue, increased thirst",Diabetes
"cough, mucus, slight fever, shortness of breath",Bronchitis
"restlessness, increased heart rate, sweating, difficulty concentrating, nervousness",Anxiety
"weight loss, fatigue, blurred vision, frequent urination",Diabetes
"nausea, vomiting, sensitivity to light",Migraine
"itching, fatigue, loss of appetite, fever",Chickenpox
"mild fever, sneezing, cough",Common Cold
"rash, loss of appetite, fever, fatigue, itching",Chickenpox
"dry cough, difficulty breathing, tiredness, loss of smell, fever, loss of taste",COVID-19
"chills, vomiting, fever",Malaria
"fatigue, fever, weight loss",Tuberculosis
"blurred vision, increased thirst, frequent urination, fatigue",Diabetes
"blurred vision, frequent urination, increased thirst, fatigue, weight loss",Diabetes
"itchy eyes, runny nose, rash",Allergy
"shortness of breath, fatigue, fever",Pneumonia
"chills, nausea, sweating, fever",Malaria
"runny nose, congestion, sneezing",Common Cold
"dizziness, headache, shortness of breath",Hypertension
"chest tightness, wheezing, coughing",Asthma
"shortness of breath, coughing, chest tightness, wheezing",Asthma
"chest tightness, coughing, shortness of breath, wheezing",Asthma
"itching, fever, fatigue",Chickenpox
"restlessness, difficulty concentrating, sweating, nervousness",Anxiety
"vomiting, headache, nausea, sensitivity to light, sensitivity to sound",Migraine
"fever, itching, fatigue, loss of appetite",Chickenpox
"congestion, runny nose, rash, sneezing",Allergy
"itching, fatigue, loss of appetite",Chickenpox
"mild fever, congestion, runny nose, sore throat",Common Cold
"sneezing, rash, congestion",Allergy
"fatigue, cough, fever, chest pain",Pneumonia
"weight loss, blurred vision, frequent urination, fatigue",Diabetes
"congestion, sneezing, itchy eyes, runny nose",Allergy
"chest tightness, shortness of breath, coughing, wheezing",Asthma
"runny nose, sneezing, rash",Allergy
"nausea, vomiting, sweating, chills, headache",Malaria
"restlessness, sweating, increased heart rate, nervousness, difficulty concentrating",Anxiety
"chest pain, cough, fatigue, fever",Pneumonia
"shortness of breath, coughing, chest tightness",Asthma
"sneezing, itchy eyes, runny nose, congestion",Allergy
"weight loss, night sweats, coughing, fever",Tuberculosis
"cough, shortness of breath, fever, fatigue, chest pain",Pneumonia
"coughing, chest tightness, wheezing, shortness of breath",Asthma
"congestion, runny nose, sore throat, mild fever, cough",Common Cold
"vomiting, sensitivity to light, nausea, headache, sensitivity to sound",Migraine
"rash, sneezing, congestion",Allergy
"mucus, shortness of breath, slight fever, cough",Bronchitis
"tiredness, loss of taste, difficulty breathing, fever, loss of smell",COVID-19
"rash, loss of appetite, itching, fever",Chickenpox
"cough, chest pain, shortness of breath, fever, fatigue",Pneumonia
"shortness of breath, nosebleeds, dizziness, headache",Hypertension
"rash, itchy eyes, sneezing, runny nose, congestion",Allergy
"difficulty concentrating, increased heart rate, restlessness",Anxiety
"changes in appetite, insomnia, loss of interest",Depression
"persistent sadness, insomnia, fatigue",Depression
"cough, muscle aches, chills, fatigue, headache, fever",Flu
"congestion, rash, itchy eyes",Allergy
"headache, vomiting, nausea, sweating",Malaria
"sneezing, rash, itchy eyes",Allergy
"changes in appetite, loss of interest, fatigue",Depression
"changes in appetite, persistent sadness, insomnia, loss of interest",Depression
"dizziness, headache, nosebleeds, shortness of breath",Hypertension
"loss of smell, dry cough, fever, tiredness",COVID-19
"chills, sweating, nausea, headache, fever, vomiting",Malaria
"coughing, wheezing, chest tightness",Asthma
"sneezing, congestion, rash",Allergy
"wheezing, coughing, shortness of breath",Asthma
"headache, fever, chills, sweating",Malaria
"headache, chills, vomiting",Malaria
"fatigue, shortness of breath, mucus, slight fever",Bronchitis
"rash, fatigue, itching",Chickenpox
"fatigue, insomnia, persistent sadness, changes in appetite, loss of interest",Depression
"headache, cough, chills, fatigue, muscle aches, fever",Flu
"fatigue, fever, cough, chills",Flu
"nausea, vomiting, headache, sensitivity to light, sensitivity to sound",Migraine
"persistent sadness, insomnia, loss of interest",Depression
"fatigue, fever, chest pain",Pneumonia
"shortness of breath, wheezing, coughing",Asthma
"cough, runny nose, sneezing",Common Cold
"shortness of breath, chest tightness, wheezing",Asthma
"sweating, increased heart rate, nervousness",Anxiety
"night sweats, weight loss, fatigue",Tuberculosis
"difficulty breathing, dry cough, loss of smell, fever, tiredness, loss of taste",COVID-19
"sneezing, rash, itchy eyes, runny nose, congestion",Allergy
"cough, muscle aches, chills",Flu
"fatigue, frequent urination, blurred vision, increased thirst, weight loss",Diabetes
"shortness of breath, headache, nosebleeds",Hypertension
"slight fever, fatigue, shortness of breath, cough, mucus",Bronchitis
"weight loss, fatigue, fever, coughing",Tuberculosis
"headache, chills, cough, fatigue, fever, muscle aches",Flu
"congestion, sore throat, runny nose, sneezing, cough, mild fever",Common Cold
"congestion, itchy eyes, rash",Allergy
"difficulty concentrating, sweating, nervousness",Anxiety
"nausea, sensitivity to sound, headache, sensitivity to light, vomiting",Migraine
"wheezing, coughing, chest tightness, shortness of breath",Asthma
"cough, fatigue, fever, shortness of breath, chest pain",Pneumonia
"weight loss, fatigue, frequent urination",Diabetes
"fever, vomiting, headache, nausea, sweating",Malaria
"changes in appetite, loss of interest, insomnia",Depression
"fever, loss of appetite, rash",Chickenpox
"loss of appetite, fatigue, fever, rash, itching",Chickenpox
"fever, sweating, headache, chills, nausea, vomiting",Malaria
"mild fever, sneezing, cough",Common Cold
"nausea, sensitivity to sound, sensitivity to light",Migraine
"wheezing, shortness of breath, chest tightness, coughing",Asthma
"increased thirst, blurred vision, fatigue",Diabetes
"fever, fatigue, night sweats, weight loss, coughing",Tuberculosis
"wheezing, chest tightness, shortness of breath",Asthma
"increased heart rate, sweating, restlessness, difficulty concentrating, nervousness",Anxiety
"weight loss, fatigue, fever, night sweats",Tuberculosis
"sneezing, congestion, rash, itchy eyes",Allergy
"fever, shortness of breath, chest pain, fatigue",Pneumonia
"sweating, increased heart rate, difficulty concentrating, restlessness, nervousness",Anxiety
"chills, headache, nausea, vomiting, fever",Malaria
"shortness of breath, mucus, slight fever, fatigue, cough",Bronchitis
"runny nose, itchy eyes, sneezing, rash, congestion",Allergy
"cough, chills, fever, muscle aches, headache, fatigue",Flu
"vomiting, sensitivity to light, sensitivity to sound",Migraine
"fever, cough, headache, muscle aches",Flu
"coughing, night sweats, fever, weight loss, fatigue",Tuberculosis
"fatigue, shortness of breath, fever",Pneumonia
"difficulty breathing, loss of taste, fever",COVID-19
"difficulty concentrating, restlessness, sweating, nervousness, increased heart rate",Anxiety
"blurred vision, increased thirst, frequent urination, fatigue",Diabetes
"loss of interest, insomnia, persistent sadness, fatigue",Depression
"shortness of breath, nosebleeds, dizziness, headache",Hypertension
"congestion, sneezing, sore throat, cough, runny nose, mild fever",Common Cold
"fever, fatigue, night sweats, coughing",Tuberculosis
"wheezing, coughing, shortness of breath, chest tightness",Asthma
"fever, itching, fatigue, rash",Chickenpox
"increased heart rate, restlessness, difficulty concentrating, nervousness",Anxiety
"tiredness, dry cough, loss of smell",COVID-19
"fatigue, fever, weight loss",Tuberculosis
"fever, rash, loss of appetite, fatigue, itching",Chickenpox
"slight fever, cough, fatigue, shortness of breath",Bronchitis
